path	sentence
common_voice_ha_26796836.mp3	Bai kamata mu rika magana da juna ba.
common_voice_ha_26796837.mp3	Ba za ki tsaya nan tare da mu ba?
common_voice_ha_26796838.mp3	Jalal baya alfahari da abinda ya faru da shi a baya.
common_voice_ha_26796893.mp3	Suna tunani sosai.
common_voice_ha_26796895.mp3	Mage ce a kasan teburi.
common_voice_ha_26796897.mp3	Wannan na da dandano kamar na kaji.
common_voice_ha_26796898.mp3	Na ji rauni yayin da muke darasin motsa jiki.
common_voice_ha_26796899.mp3	Abun kunya ne sosai.
common_voice_ha_26796953.mp3	Jauro ne shugaban mu.
common_voice_ha_26796954.mp3	Tunda yanzu ka faɗa, bana cikin yanke irin wannan hukuncin.
common_voice_ha_26796956.mp3	Dodon ya sace min sarƙata da na fi ji da ita kuma ya gudu.
common_voice_ha_26796958.mp3	Bana tsammanin Tijjani ne ya yi haka.
common_voice_ha_26797064.mp3	amma matsala mafi mahimmanci yanzu shine wannan ciwon kirji
common_voice_ha_26797065.mp3	Aliko ya manna fasta a jikin bango.
common_voice_ha_26797066.mp3	A ƙarshe, ba a sami alpaca alpha-CoV ba a cikin dabbobin feral.
common_voice_ha_26797068.mp3	A ɗauraye da kyau a ruwa mai gudana.
common_voice_ha_26797069.mp3	Za mu gyara wannan.
common_voice_ha_26797127.mp3	Ajiye har yanzu-fashewa da ƙuntatawa na tafiya suna canzawa da sauri.
common_voice_ha_26797128.mp3	Yau ina da wani.
common_voice_ha_26797130.mp3	Ta yi ihun jin daɗi har ta fita hayyacinta.
common_voice_ha_26797132.mp3	Ba zan iya taimakawa Abdullahi yin abin da yake ƙoƙarin yi ba.
common_voice_ha_26797133.mp3	Har yaushe kuka bar Aliko kadai?
common_voice_ha_26797203.mp3	Wadannan kalmomini da aka yi amfani da su basu dace ba.
common_voice_ha_26797204.mp3	Ban san yadda ake sarrafa tayan keke ba.
common_voice_ha_26797205.mp3	Ana iya aiwatar da matakan kariya da ragewar cutan a lokaci guda.
common_voice_ha_26797207.mp3	Zamu tafi gida.
common_voice_ha_26797208.mp3	Kai, wannan wace irin haduwa ce! Tambarin yatsunmu iri ɗaya da Ishaku.
common_voice_ha_26797292.mp3	Abdullahi ya ce yana ƙarfi na asali.
common_voice_ha_26797293.mp3	Wannan gaskiyane musamman gameda iyaye masu karancin Ilimi da madogara.
common_voice_ha_26797295.mp3	Ban sanya kwat ba.
common_voice_ha_26797298.mp3	Tsarin wayata ba ya karɓar kiran caji ya maida.
common_voice_ha_26797299.mp3	Sabuwar gaɗa na jirgin ƙasa za'a gina tsakanin garuruwa guda biyu.
common_voice_ha_26797431.mp3	Da ya je ya jefa kanshi a rahaman kotu.
common_voice_ha_26797433.mp3	Na sumbaci ƙarƙashin ƙafarka.
common_voice_ha_26797434.mp3	Ciniki ya hau cikin sauri a makon da ya wuce, a maganar kakakin woolworth.
common_voice_ha_26797435.mp3	Kamar tafiya a kan wata.
common_voice_ha_26797498.mp3	Zaʻa samu ƙarin bayani game da tsarin a cikin wannan sashin.
common_voice_ha_26797499.mp3	Habibu ya ji daɗi sosai game da abin da ya faru.
common_voice_ha_26797500.mp3	Kasance aboki nakusa ka fita neman abinci. A lokaci guda, fitar da sharan.
common_voice_ha_26797501.mp3	Muna maka barka da ranar Kirsimeti kai da iyalanka.
common_voice_ha_26797502.mp3	ka ji kamar kirjin ka ya ɗaure
common_voice_ha_26797571.mp3	Mustapha ya ce tabbas ya san za ka yi hakan.
common_voice_ha_26797573.mp3	Kamar Aliyua zai yi wannan yanzun nan.
common_voice_ha_26797574.mp3	Japan suna dogara akan wasu kasashe ma mai.
common_voice_ha_26797575.mp3	Amy ta yi aiki a farfajiyar Asabar ɗin da ta gabata.
common_voice_ha_26797578.mp3	Habibu ta ce ta yi tunanin Aliko na zargi.
common_voice_ha_26797663.mp3	Bai sa mu ba kawai.
common_voice_ha_26797664.mp3	Mr Hawk mutumin ƙwarai ne.
common_voice_ha_26797665.mp3	Shin kana ganin za samu shigab jamiya Harvard haryanzu?
common_voice_ha_26797666.mp3	Zafi da sanyi, hasken rana mai ban sha'awa, Kyakkyawan yanayin zafi!
common_voice_ha_26797667.mp3	Zaka iya kasancewa tare da mu idan kana so.
common_voice_ha_26797728.mp3	Da gaske zai yiwu?
common_voice_ha_26797730.mp3	Tsahon shekaru da dama sai ya ci shinkafa sau biyu kullum.
common_voice_ha_26797735.mp3	Ɗan sandan ya lallaɓa ta baya ya damƙe mai laifin.
common_voice_ha_26797738.mp3	Margret ba ta san abinda ta yi ba dai-dai ba ne.
common_voice_ha_26797822.mp3	Kwararrun marubutan ba su da kudin shiga na yau da kullun.
common_voice_ha_26797823.mp3	Mota ta bata da wajen zama a baya.
common_voice_ha_26797824.mp3	Salmon ya hau kogin kuma ya sanya ƙoshinsu a cikin yashi.
common_voice_ha_26797825.mp3	Ba na so in zauna a can.
common_voice_ha_26797826.mp3	Ta yaya za ka jure zama da su?
common_voice_ha_26797890.mp3	Jirgin London express ya nufo tashar cikin ƙugi.
common_voice_ha_26797891.mp3	Bana ganin dacewar yara su sha giya.
common_voice_ha_26797893.mp3	Rayuwar ta yiwa Mustapha wahala.
common_voice_ha_26797894.mp3	Azaban yasa ya furta laifukan da bai yi ba.
common_voice_ha_26797896.mp3	Ta yi mugun sabo da karatun littafan Jauro Potter.
common_voice_ha_26798037.mp3	Na yanke shawarar tsayawa a soyayyar. Ba za a a iya jure tsana ba.
common_voice_ha_26798041.mp3	Tsuntsaye biyu sun gina sheƙa ba tare da neman izini ba.
common_voice_ha_26798043.mp3	Suna samun kudin kashewa ne ta hanyar karɓa da sayar da tsohuwar jarida.
common_voice_ha_26798048.mp3	Har yanzu ban kusa gama wannan ba.
common_voice_ha_26798051.mp3	Don ba shi mamaki a ranar haihuwarsa, Na shirya kyakkyawan keken.
common_voice_ha_26798168.mp3	Aikin na da wahala, amma duk da haka Bitrus na son ya yi.
common_voice_ha_26798171.mp3	Da yawa cikin masana sunyi kokarin gano lissafa adadin na wani bangaren al’umma.
common_voice_ha_26798173.mp3	Abun ya burge Ibrahimu.
common_voice_ha_26798176.mp3	Ina matuƙar kewarka.
common_voice_ha_26798177.mp3	Na san Hassan bai san ina son yin haka ba.
common_voice_ha_26798211.mp3	Idan kuna son yin wannan, sai kun tsallake takobi tare dani.
common_voice_ha_26798213.mp3	Canza-canzan mulki nada babban tasiri akan tattalin arzikin siyasa na kasa da kasa.
common_voice_ha_26798215.mp3	Za ku amince da waɗannan sharuɗɗan?
common_voice_ha_26798216.mp3	Wannan bas din na iya daukar fasinjoji hamsin.
common_voice_ha_26798218.mp3	Dilan ya kaiwa ragon hari.
common_voice_ha_26798281.mp3	Ina fatan zan sami dan taimako.
common_voice_ha_26798285.mp3	Da gaske Yusuf yaci caca?
common_voice_ha_26798287.mp3	Da suna da wata matsala, za mu ji labari.
common_voice_ha_26798289.mp3	Za ku iya faɗa miniabinda ku ke bukata?
common_voice_ha_26798332.mp3	Kada a ga waɗannan canje-canje a matsayin barin aiki gaba ɗaya da takalifi.
common_voice_ha_26798333.mp3	Ishaku ya bani labarin dariya.
common_voice_ha_26798334.mp3	Ya kamata ka daina shan giya.
common_voice_ha_26798335.mp3	Jirgin da muka hau na da gudu sosai.
common_voice_ha_26798336.mp3	Na fadawa Jauro baza mu sake irin haka ba?
common_voice_ha_26798392.mp3	Nagode da yadda ka ƙona mini riga ta da sigarin ka.
common_voice_ha_26798393.mp3	Tafkin English ne ya raba tsakanin Birtaniya da Europe.
common_voice_ha_26798394.mp3	Kana bani kunya.
common_voice_ha_26798395.mp3	Ba komai a hannuna.
common_voice_ha_26798396.mp3	Ka zuba soyayyen dankalin a kwano. Kar ka ci daga cikin jaka.
common_voice_ha_26798442.mp3	Daliban sun ga jarrabawar karshe ta zama iska ce.
common_voice_ha_26798444.mp3	Mamana tana aiki a yanzu.
common_voice_ha_26798445.mp3	Na gode da kyautar kati mai kyau da ka aiko mini.
common_voice_ha_26798446.mp3	Zulai na da ƙarfin hali, ko ba haka ba?
common_voice_ha_26798542.mp3	mafiya wan jirage na bada daman soke htu ko chaja farashin.
common_voice_ha_26798543.mp3	Ina mamakin idan Musa bai da kudi da gaske.
common_voice_ha_26798544.mp3	Ba'a yi ba a baya.
common_voice_ha_26798545.mp3	Ku sassauta kawai.
common_voice_ha_26802531.mp3	Ina sa ran a biya ni wannan aikin gobe.
common_voice_ha_26802533.mp3	Soyayya za ta iya sa maza su rasa ransu sabida masoyansu.
common_voice_ha_26802534.mp3	Na ji daɗin hakan da kuka yi, sarauniyar ta ƙara faɗa, cikin tattausan harshe.
common_voice_ha_26802536.mp3	Za mu jira har duhu ya yi.
common_voice_ha_26802539.mp3	Abin takaici, babana ba zai ci gaba da zama cikin rukunin ba.
common_voice_ha_26802660.mp3	Koyaya, wannan ya bambanta dangane da zafi da zazzabi.
common_voice_ha_26802661.mp3	An yiwa littafin nan ciniki mai kyau.
common_voice_ha_26802662.mp3	Ta naɗe kyautar cikin farar takarda sannan ta saka jan maɗauri a sama.
common_voice_ha_26802664.mp3	Shi ne Mr. Right ɗina.
common_voice_ha_26802666.mp3	Ba wanda ya yi zaton Aliko ya san ainihin abin da ya faru.
common_voice_ha_26802756.mp3	Abdullahi ya san Hafsat ba lallai ta yi kuka ba.
common_voice_ha_26802758.mp3	Wannan ce kwamfutar da na ke fada maka.
common_voice_ha_26802759.mp3	Kamar dai duk abinda ya taɓa sai ya zama alkhairi.
common_voice_ha_26802761.mp3	Ba na tsammanin Jalal zai yi hakan gobe.
common_voice_ha_26802762.mp3	Likita me ka ke tunani kan hakan?
common_voice_ha_26802851.mp3	Habibu ya fadawa Hadiza kar ya ji tsoron yin hakan.
common_voice_ha_26802854.mp3	Baza ki iya shawo kan Jami ba.
common_voice_ha_26802857.mp3	Jiya da safe na ga Mr. Carter.
common_voice_ha_26802860.mp3	Ban fara nazarin Faransanci ba har sai da na cika shekara talatin.
common_voice_ha_26802862.mp3	Na zauna da kakana makon jiya.
common_voice_ha_26802992.mp3	Akwai wajen kowa da kowa.
common_voice_ha_26802993.mp3	Ba tsammani, Jalal ya dafe ƙirjinsa cikin ciwo.
common_voice_ha_26802994.mp3	nuna min a wannan hoton inda kake jin zafin
common_voice_ha_26802995.mp3	Karku gwada yin abubuwa biyu a lokaci guda.
common_voice_ha_26802996.mp3	Ina son na san me ya sa ba kya son Hassan.
common_voice_ha_26803196.mp3	Yi hakuri, amma ina son zuwa wajen motsa jiki.
common_voice_ha_26803198.mp3	Aliko ya faɗa ruwa.
common_voice_ha_26803200.mp3	Ya tsaya mai kauri kamar karta akan masifa.
common_voice_ha_26803201.mp3	Ina son sunan Bella, yana nufin kyakkyawa, daidai ne?
common_voice_ha_26803202.mp3	Mu’amalar kwayar cuta daga inda take zama da kuma na yadda take bazuwa.
common_voice_ha_26803312.mp3	Kuɗi ba komai bane.
common_voice_ha_26803315.mp3	A cikin ƙasashe da yawa akwai ƙarancin wanke hannuwa da sabulu.
common_voice_ha_26803316.mp3	Ka aikata wannan kuskuren sabida wani dalili, ko ba haka ba?
common_voice_ha_26803319.mp3	Me ya ke sa ki rashin samun lokaci?
common_voice_ha_26803320.mp3	Daga ina ka ke a Canada?
common_voice_ha_26803414.mp3	Japan na tsammanin taka muhimmiyar rawa a gamayyar ƙasashen duniya.
common_voice_ha_26803416.mp3	Kawai ka saka 'R' a ƙarshe. Yanzu kana da sabon shafin yanar gizo!
common_voice_ha_26803417.mp3	Tashin hankali ya hana ni bacci duk tsahon dare.
common_voice_ha_26803420.mp3	Wannene aka fi sani?
common_voice_ha_26803421.mp3	A ƙarshen tsaunin, akwai furanni masu ban sha'awa.
common_voice_ha_26803512.mp3	An dakatar da yawancin ɗaliban sakamakon rashin kayan makaranta.
common_voice_ha_26803513.mp3	Ta haƙura da komai sabida ta kula yaranta.
common_voice_ha_26803514.mp3	Bana son na zamo sirrin ki.
common_voice_ha_26803515.mp3	Yanzu dai ki je ki huta. Aiki ba ya jira.
common_voice_ha_26803516.mp3	Jarumin zai taka rawar mutane biyar a kasa da rabin awa.
common_voice_ha_26803574.mp3	Jami ya fada mini yana son na zo gobe da yamma.
common_voice_ha_26803575.mp3	Babangida ya yi nasara kan rashin samun daidaito.
common_voice_ha_26803577.mp3	Kakan mu na miji ya faɗi a kan matakala kuma ya ji rauni sosai.
common_voice_ha_26803578.mp3	Meyasa ki ke son zaman Austaralia?
common_voice_ha_26803640.mp3	Jami ta ce shi zai yi maka.
common_voice_ha_26803641.mp3	Aliko bai san Hauwa na asibiti ba.
common_voice_ha_26803643.mp3	Ya rasa takalminsa na dama.
common_voice_ha_26803644.mp3	Shine Mr. Brown, shugaban kwamitin.
common_voice_ha_26803647.mp3	Mai ziyarar ya tafi mintuna biya kafin ka zo.
common_voice_ha_26803702.mp3	Mutane da yawa suna neman abin da za su rufe kansu.
common_voice_ha_26803703.mp3	Digon tawada na iya sa mutum miliyan tunani.
common_voice_ha_26803704.mp3	Ya tattara dukkan ƙarfinsa domin harba kibiyar dake cikin baka zuwa nesa.
common_voice_ha_26803705.mp3	Lare ta gargaɗe ni, amma ban saurare ta ba.
common_voice_ha_26803707.mp3	Mu je cin abinci da dare!
common_voice_ha_26803797.mp3	Ba na tsammanin za ku iya yin hakan.
common_voice_ha_26803799.mp3	Kana ganin ya zama dole?
common_voice_ha_26803802.mp3	Duk da haka, wasu masana ba su da bege ba.
common_voice_ha_26803806.mp3	Farfesan da naci abincin rana da shi sunansa Bitrus.
common_voice_ha_26803810.mp3	Wani mayafin shuɗi ya rufe shi.
common_voice_ha_26804334.mp3	Idan za ku nemi afuwa, ba da jimawa ba zai fi kyau.
common_voice_ha_26804335.mp3	Makel Jakson shine ya fi fice a waƙa cikin ƙasar Amurka.
common_voice_ha_26804336.mp3	Yusuf da Amsatu sun ce sun tuna yadda suka ga Tijjani na yin hakan.
common_voice_ha_26804337.mp3	kuma faɗa min waɗanne alamomin cuta ka ke da su yanzu?
common_voice_ha_26804338.mp3	Har yanzu ina tuna abubuwa da dama na makarantarmu.
common_voice_ha_26804395.mp3	Tana jin dadin kallon finafinan abin tsoro.
common_voice_ha_26804396.mp3	Mustapha ya ɗauki abinci don abincin dare.
common_voice_ha_26804398.mp3	Na iya sayen shi?
common_voice_ha_26804399.mp3	Bitrus zai kasance a Boston gobe dai-dai wannan lokacin.
common_voice_ha_26804400.mp3	Kana bada rahoton laifuka?
common_voice_ha_26804451.mp3	An fi saninsa da a Ingilishi da Sarki Aliyu.
common_voice_ha_26804452.mp3	Habibua ba shine ya aro mota ta ba.
common_voice_ha_26804453.mp3	Ya shiga wani babban zamba.
common_voice_ha_26804454.mp3	Shi mai son Stephen King ne da gaske.
common_voice_ha_26804455.mp3	Na rasa rigar da zan zaɓa; tsakanin wannan jar da koriya.
common_voice_ha_26804555.mp3	Bana son cin irin abincin da Cherlie ke son ci.
common_voice_ha_26804556.mp3	kuma ko kuna jin wasu alamomin wadanan tare da ciwon kirjin ka
common_voice_ha_26804557.mp3	Hadari ya taso kafin na je tasha.
common_voice_ha_26804559.mp3	Ya bawa talakar matar biredi kaɗan da kuma ƙarin dala biyar.
common_voice_ha_26804560.mp3	Habibu da Lami ba masu kudi ba ne kamar yadda mutane ke tunani.
common_voice_ha_26804616.mp3	Ya kamata ka tambaye shi.
common_voice_ha_26804618.mp3	Aliyu ya sanya tsinken gam a bakinsa.
common_voice_ha_26804619.mp3	Ina da wajen zama.
common_voice_ha_26804621.mp3	Mun yi gumi a cikin zafi.
common_voice_ha_26804623.mp3	Ko za ka iya ƙunshe kyautar?
common_voice_ha_26804678.mp3	Ina mamakin ko zan iya wannan.
common_voice_ha_26804680.mp3	Mutum biyu za su iya wannan wasan.
common_voice_ha_26804681.mp3	Zai fi idan har Habibu ya zauna a Boston.
common_voice_ha_26804682.mp3	kuma kuna da zazzabi yanzu
common_voice_ha_26804683.mp3	Kowace yarinya a cikin aji na ƙaunar Aliyu.
common_voice_ha_26804719.mp3	Wane shiri kake ganin zai fi?
common_voice_ha_26804721.mp3	Wannan ya lalace.
common_voice_ha_26804723.mp3	Za ka iya faɗa min game da su?
common_voice_ha_26804724.mp3	Yusuf ya yi mamakin yadda Hafsat ta canza da yawa.
common_voice_ha_26804725.mp3	Ni da Jami muna tura wa juna sako ko da yaushe.
common_voice_ha_26804802.mp3	Kun sanya caca a wasan?
common_voice_ha_26804805.mp3	Tsawon yaushe kake bukata ka koyi harshen Jamusanci?
common_voice_ha_26804806.mp3	Kowanne mai amfani zai iya duba matsayin masu amfani guda uku.
common_voice_ha_26804808.mp3	Ka ajiye in da baza agani ba.
common_voice_ha_26804809.mp3	Dayawa na duban yiwuwar rushewan tattalin arziki.
common_voice_ha_26804896.mp3	Farin ciki ba shi ne hujjar ba hasashe ne.
common_voice_ha_26804899.mp3	Hankaka na da ban tsoro.
common_voice_ha_26804900.mp3	Jalal dai bai gamsu da sakamakon ba.
common_voice_ha_26804901.mp3	Na gani!
common_voice_ha_26804904.mp3	Falmata ta ce da ni za ta yi hakan, idan ni ma na yi.
common_voice_ha_26805002.mp3	Lallodar na iya ɗaga tan ashirin na kankare.
common_voice_ha_26805005.mp3	Ibrahim ya faɗi a ƙasa ya karya haƙarƙai uku.
common_voice_ha_26805007.mp3	Yin amfani da magungunan steroids na iya tsanantar sakamako.
common_voice_ha_26805008.mp3	Muna fatan wani abu mai kyau zai faru.
common_voice_ha_26805010.mp3	Shi kam maƙaryaci ne.
common_voice_ha_26805087.mp3	Ibrahim ya koma San Diego.
common_voice_ha_26805088.mp3	Ba mamaki na tsufa, amma ba na shirme.
common_voice_ha_26805089.mp3	Yan-Adam suna kamuwa da kwayar cutar ta fannin yanka da cin naman dabba.
common_voice_ha_26805091.mp3	Habibu ya kasance mai kirki da taimako.
common_voice_ha_26806915.mp3	An samo wannan tsakanin yatsa da babban yatsa.
common_voice_ha_26806916.mp3	Me kake da niyar yi?
common_voice_ha_26806917.mp3	Ka bar saƙonka da zarar ka ji alama.
common_voice_ha_26806918.mp3	An sanya ta kula da aikin, duk da cewar ba ta da kwarewar shugabanci.
common_voice_ha_26806919.mp3	Idan kuka yi ihu daga saman dutse, zaku iya jin sautin muryarku.
common_voice_ha_26806976.mp3	Zo mu je tare.
common_voice_ha_26806977.mp3	Idan na ga Hassan da Maimunatu, zan gaya musu kuna nemansu.
common_voice_ha_26806978.mp3	Bitrus da Hauwa basu cika amfani da wayoyinsu ba.
common_voice_ha_26807034.mp3	Hassan ya yanke hukuncin rubuta takardar ƙorafi kan maƙwabcinsa.
common_voice_ha_26807038.mp3	Kina jina a ranki?
common_voice_ha_26807042.mp3	Ya kamata Musa ya yi haka sati mai zuwa.
common_voice_ha_26807044.mp3	kuna dauke da wani cuta mai tsanani damuwar asibiti kammar ciwon sukari?
common_voice_ha_26807045.mp3	Ina da wasu tambayoyi da zan miki.
common_voice_ha_26807075.mp3	Zulaitu ta ce ba ta tunanin ya kamata Yakubu ya yi haka a waje.
common_voice_ha_26807076.mp3	Na tuna shekarar da ya sami aiki.
common_voice_ha_26807077.mp3	Aisha na alfahari da kanta.
common_voice_ha_26807079.mp3	Allah yana nan ko ina.
common_voice_ha_26807080.mp3	Na san Bitrus ya san bai kamata ya yi hakan ba.
common_voice_ha_26807115.mp3	Ba na komai sai aiki.
common_voice_ha_26807118.mp3	Hauwa ta ce bata san wajenda ya kamata ta ajiye motar ta ba.
common_voice_ha_26807119.mp3	Zan zo wajenka gobe.
common_voice_ha_26807121.mp3	Rangadin zai kai za a gudanar a kowanne tsibirin biyar.
common_voice_ha_26807123.mp3	Jauroa na zaune shi kaɗai cikin rumfa, yana cin abincin rana.
common_voice_ha_26807152.mp3	Tuffar ta fara ruɓewa.
common_voice_ha_26807154.mp3	Ko Tijjani ko Falmata ba wanda ya sayi yawancin abinda suke bukata.
common_voice_ha_26807157.mp3	Gudanar da dynamite yana da haɗari.
common_voice_ha_26807160.mp3	Ban san me ya ke damun Jami ba.
common_voice_ha_26807162.mp3	Mene ne idan ka yi?
common_voice_ha_26807192.mp3	Mafarautan sun kama hanya kafin asuba.
common_voice_ha_26807195.mp3	Kamfanin ba za su iya jure canje-canje ba zato ba tsammani.
common_voice_ha_26807198.mp3	Aliyu injiniyan kwamfuta ne.
common_voice_ha_26807199.mp3	Ina son chess.
common_voice_ha_26807200.mp3	Ba a unguwarmu ne ya ke zama ba.
common_voice_ha_26807253.mp3	Yayi karaji, kuma a hankali jirgin ruwan ya fara ficewa daga tashar jiragen ruwa.
common_voice_ha_26807255.mp3	Ya kamata Musa ya yi hakan anan.
common_voice_ha_26807256.mp3	Babban rashi!
common_voice_ha_26807257.mp3	Karin wannan lokacin ya kara rage shirin nauyin aiki da matsi a faɗin kungiyar.
common_voice_ha_26807258.mp3	Tijjani ya ke bai yanke shawarar abinda ya kamata ya yi ba har yanzu.
